Domain,Status,ContentLength,CNAME,CloudProvider,Score,Tags,IsTLS
skyline.github.com,200,-1,github.github.io,GitHub-Pages,3.50,"GitHub-Pages,200",true
vscode-auth.github.com,200,-1,github.github.io,GitHub-Pages,3.50,"GitHub-Pages,200",true
f.cloud.github.com,403,-1,r2.shared.global.fastly.net,Fastly,3.20,"Fastly,403",true
desktop.github.com,301,162,github.github.io,GitHub-Pages,3.00,"GitHub-Pages,301,REDIRECT,0KB",true
vpn-ca.iad.github.com,404,-1,github.github.io,GitHub-Pages,2.70,"GitHub-Pages,404",true
pages-auth.github.com,404,-1,github.github.io,GitHub-Pages,2.70,"GitHub-Pages,404",true
brandguide.github.com,404,-1,github.github.io,GitHub-Pages,2.70,"GitHub-Pages,404",true
*.workspaces-ppe.github.com,404,21,vsapi-cluster-ppe-rel-global-perf-tm.trafficmanager.net,Azure-Traffic,2.70,"Azure-Traffic,404,0KB",true
*.workspaces-dev.github.com,404,21,vsapi-cluster-dev-ci-global-perf-tm.trafficmanager.net,Azure-Traffic,2.70,"Azure-Traffic,404,0KB",true
api.security.github.com,200,-1,glb-db52c2cf8be544.github.com,,2.50,200,true
emails.github.com,200,-1,mkto-sj180011.com,,2.50,200,true
classroom.github.com,200,19217,glb-db52c2cf8be544.github.com,,2.50,"200,18KB",true
graphql.github.com,200,2389,glb-db52c2cf8be544.github.com,,2.50,"200,2KB",true
glb-c0e95bd587389a.github.com,200,-1,glb-c0e95bd587389a.github.com,,2.50,200,true
docs-internal.github.com,200,-1,glb-db52c2cf8be544.github.com,,2.50,200,true
github.com,200,-1,github.com,,2.50,200,true
edu.github.com,200,-1,glb-db52c2cf8be544.github.com,,2.50,200,true
slack.github.com,200,16095,glb-db52c2cf8be544.github.com,,2.50,"200,15KB",true
examregistration-api.github.com,200,-1,waws-prod-dm1-285-6514.centralus.cloudapp.azure.com,,2.50,200,true
examregistration.github.com,200,479,waws-prod-dm1-285-6514.centralus.cloudapp.azure.com,,2.50,"200,0KB",true
examregistration-uat-api.github.com,200,-1,waws-prod-dm1-285-6514.centralus.cloudapp.azure.com,,2.50,200,true
examadmin-uat.github.com,200,-1,waws-prod-dm1-285-6514.centralus.cloudapp.azure.com,,2.50,200,true
examadmin.github.com,200,-1,waws-prod-dm1-285-6514.centralus.cloudapp.azure.com,,2.50,200,true
examregistration-uat.github.com,200,479,waws-prod-dm1-285-6514.centralus.cloudapp.azure.com,,2.50,"200,0KB",true
render.github.com,301,0,github.com,,2.00,"301,REDIRECT",true
m.communication.github.com,302,233,mscom-mkt-prod22-lb.campaign.adobe.com,,2.00,"302,REDIRECT,0KB",true
containers.pkg.github.com,301,0,pkg.github.com,,2.00,"301,REDIRECT",true
docs.github.com,302,25,docs.github.com,,2.00,"302,REDIRECT,0KB",true
garage.github.com,302,-1,garage.github.com,,2.00,"302,REDIRECT",true
pkg.github.com,301,0,pkg.github.com,,2.00,"301,REDIRECT",true
embed.github.com,301,0,github.com,,2.00,"301,REDIRECT",true
visualstudio.github.com,301,0,redirect.github.com,,2.00,"301,REDIRECT",true
shop.github.com,301,0,github.com,,2.00,"301,REDIRECT",true
styleguide.github.com,301,0,redirect.github.com,,2.00,"301,REDIRECT",true
gist.github.com,302,0,github.com,,2.00,"302,REDIRECT",true
raw.github.com,301,0,raw.github.com,,2.00,"301,REDIRECT",true
res.communication.github.com,302,235,mscom-mkt-prod22-lb.campaign.adobe.com,,2.00,"302,REDIRECT,0KB",true
status.github.com,301,0,redirect.github.com,,2.00,"301,REDIRECT",true
fi.github.com,301,0,github.com,,2.00,"301,REDIRECT",true
www.github.com,301,0,github.com,,2.00,"301,REDIRECT",true
enterprise.github.com,301,0,glb-db52c2cf8be544.github.com,,2.00,"301,REDIRECT",true
support.enterprise.github.com,301,0,redirect.github.com,,2.00,"301,REDIRECT",true
maintainers.github.com,308,-1,glb-db52c2cf8be544.github.com,,2.00,"308,REDIRECT",true
community.github.com,301,0,redirect.github.com,,2.00,"301,REDIRECT",true
t.communication.github.com,302,233,mscom-mkt-prod22-lb.campaign.adobe.com,,2.00,"302,REDIRECT,0KB",true
maven.pkg.github.com,301,71,pkg.github.com,,2.00,"301,REDIRECT,0KB",true
nonprofits.github.com,301,0,glb-db52c2cf8be544.github.com,,2.00,"301,REDIRECT",true
education.github.com,302,-1,glb-db52c2cf8be544.github.com,,2.00,"302,REDIRECT",true
help.github.com,301,0,redirect.github.com,,2.00,"301,REDIRECT",true
*.pkg.github.com,301,71,pkg.github.com,,2.00,"301,REDIRECT,0KB",true
atom-installer.github.com,503,510,atom-installer.github.com,,1.80,"503,0KB",true
mailing.github.com,404,162,mailing.github.com,,1.70,"404,0KB",true
lb-140-82-112-6-iad.github.com,400,-1,lb-140-82-112-6-iad.github.com,,1.70,400,true
*.review-lab.github.com,404,21,,,1.70,"404,0KB",true
*.proxima-review-lab.github.com,400,-1,,,1.70,400,true
*.octocaptcha.review-lab.github.com,404,21,,,1.70,"404,0KB",true
ws.support.github.com,400,-1,ws.support.github.com,,1.70,400,true
central.github.com,401,12,glb-db52c2cf8be544.github.com,,1.70,"401,0KB",true
*.registry.github.com,404,-1,pkg.github.com,,1.70,404,true
*.workspaces.github.com,404,21,online.visualstudio.com,,1.70,"404,0KB",true
jobs.github.com,0,0,jobs.github.com,,1.00,NO-HTTP,false
communication.github.com,0,0,communication.github.com.cname.campaign.adobe.com,,1.00,NO-HTTP,false
smtp.github.com,0,0,smtp.github.com,,1.00,NO-HTTP,false
